Asset Name;Creator;Source / Website;License;Link to Asset
 Electric Vehicle Charging Cable Male Connector;Joachim Bornemann;Blenderkit;RF;https://www.blenderkit.com/get-blenderkit/6e5f4908-1b48-4056-a001-5efa4a222f08
Industrial Yellow Safety Barrier/Pole;Just8;Sketchfab;CC Attribution;https://skfb.ly/owFAY
Electric Motor Vehicle Charging Socket, Male With Cover;Joachim Bornemann;Blenderkit;RF;https://www.blenderkit.com/get-blenderkit/faaacdb2-e78d-4051-a706-8eb8eb0d04ac
Burgers Restaurant Building Free 3D model;hdeanl1988;cgtrader;Royalty Free No Ai License ;https://www.cgtrader.com/free-3d-models/exterior/exterior-public/mcdonalds-parody-odonovans-burgers-restaurant-building
 Fence low-poly 3D model;josef-pictures;cgtrader;Royalty Free No Ai License ;https://www.cgtrader.com/free-3d-models/architectural/decoration/free-fence
Red Toolbox(For EV Tester);Cozmoth;Sketchfab;CC Attribution;https://skfb.ly/oCuLA
USB Port & Plug;BladeManEXE10;Sketchfab;CC Attribution;https://skfb.ly/6AYs8
Bunch of Electric Wires;romullus;Sketchfab;CC Attribution-ShareAlike;https://skfb.ly/onEQ8
 Hook - With STL Free low-poly 3D model;DarkStudio;cgtrader;Royalty Free No Ai License ;https://www.cgtrader.com/free-3d-models/household/other/towel-hook-08
Front Car Seats;D0uble_Zer0;Sketchfab;CC Attribution;https://skfb.ly/o9zpx
multimeter;Marcin.Kwiatkowski;Sketchfab;CC Attribution;https://skfb.ly/6XVCS
FedEx van;memoov;Sketchfab;CC Attribution;https://skfb.ly/6ZXVs
Van Interior ;Van_Twinkle;Sketchfab;CC Attribution;https://skfb.ly/oHYUI
Laptop;Vivien Deroche;Sketchfab;CC Attribution;https://skfb.ly/6SuwL
ELECTRIC VEHICLE CHARGING POINT TRYDAN;V2C;Sketchfab;CC Attribution;https://skfb.ly/pvGJ8
Carport;podval21;Sketchfab;CC Attribution;https://skfb.ly/o6XvV
Audi e-Tron GT - made with Blender;gbarzu;Sketchfab;CC Attribution;https://skfb.ly/oqDSC
Electrical transformer substation;Labus;Sketchfab;CC Attribution;https://skfb.ly/pwuSn
Electric Distribution Box;Avadhoot;Sketchfab;CC Attribution;https://skfb.ly/oFzMo
Coffee Shop;Alexander Patterson;Sketchfab;CC Attribution;https://skfb.ly/oTZFs
Parking lot;ROY;Sketchfab;CC Attribution;https://skfb.ly/oIpnU
Tool / Combination Wrench;ROY;Sketchfab;CC Attribution;https://skfb.ly/oxuMU
Tactical Gloves Low Poly Game Ready;DanlyVostok;Sketchfab;CC Attribution;https://skfb.ly/psLR9
Tool Set;Fishar;Sketchfab;CC Attribution;https://skfb.ly/oLOpA
Electricdrill photoscan 360;saibot;Sketchfab;CC Attribution;https://skfb.ly/pxWsB
Bambanani Sunset (Skybox);Dimitrios Savva, Jarod Guest;Poly Heaven;CC0;https://polyhaven.com/a/bambanani_sunset
Optimized Ropes And Cables Tool;GOGO GAGA;Unity Asset Store;Extension Asset;https://assetstore.unity.com/packages/tools/physics/optimized-ropes-and-cables-tool-287164?srslti
AI Logos(Burger Shop,Coffee Shop etc.);OpenAI;ChatGPT;Paid Version;
4K PBR Ground Textures;Se34ms;Unity Asset Store;Standard Unity Asset Store EULA;https://assetstore.unity.com/packages/2d/textures-materials/4k-pbr-ground-textures-206354?srsltid=AfmBOoqrk2RHsHIt3nDd3u9MDmvGA99YEsf5p26hE5THU7EQwt3RSfnY
